id,units,title,notes,Mean
BAMLHE00EHYIOAS,Percent,BofA Merrill Lynch Euro High Yield Index Option-Adjusted Spreadë©,"This data represents the Option-Adjusted Spread (OAS) of the BofA Merrill Lynch Euro High Yield Index tracks the performance of Euro denominated below investment grade corporate debt publicly issued in the euro domestic or eurobond markets. Qualifying securities must have a below investment grade rating (based on an average of Moody's, S&P, and Fitch). Qualifying securities must have at least one year remaining term to maturity, a fixed coupon schedule, and a minimum amount outstanding of Euro 100 million. Original issue zero coupon bonds, ""global"" securities (debt issued simultaneously in the eurobond and euro domestic markets), 144a securities and pay-in-kind securities, including toggle notes, qualify for inclusion in the Index. Callable perpetual securities qualify provided they are at least one year from the first call date. Fixed-to-floating rate securities also qualify provided they are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security. Defaulted, warrant-bearing and euro legacy currency securities are excluded from the Index.  BofA Merrill Lynch Explains the Construction Methodology of this series as: Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of U.S. mortgage pass-throughs and U.S. structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming next-day settlement. Accrued interest for U.S. mortgage pass-through and U.S. structured products is calculated assuming same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.  The BofA Merrill Lynch OASs are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.  Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES ""AS IS"" MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.00040446
BAMLHE00EHYISYTW,Percent,BofA Merrill Lynch Euro High Yield Index Semi-Annual Yield to Worstë©,"This data represents the semi-annual yield to worst of the BofA Merrill Lynch Euro High Yield Index tracks the performance of Euro denominated below investment grade corporate debt publicly issued in the euro domestic or eurobond markets. Qualifying securities must have a below investment grade rating (based on an average of Moody's, S&P, and Fitch). Qualifying securities must have at least one year remaining term to maturity, a fixed coupon schedule, and a minimum amount outstanding of Euro 100 million. Original issue zero coupon bonds, ""global"" securities (debt issued simultaneously in the eurobond and euro domestic markets), 144a securities and pay-in-kind securities, including toggle notes, qualify for inclusion in the Index. Callable perpetual securities qualify provided they are at least one year from the first call date. Fixed-to-floating rate securities also qualify provided they are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security. Defaulted, warrant-bearing and euro legacy currency securities are excluded from the Index.  BofA Merrill Lynch Explains the Construction Methodology of this series as: Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of U.S. mortgage pass-throughs and U.S. structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming next-day settlement. Accrued interest for U.S. mortgage pass-through and U.S. structured products is calculated assuming same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.  Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payment frequencies of annual, semi-annual, quarterly, and monthly. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES ""AS IS"" MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright, 2014, Bank of America Corporation. Reprinted with permission.",-0.001672497
BAMLHE00EHYITRIV,Index,BofA Merrill Lynch Euro High Yield Index Total Return Index Valueë©,"This data represents the BofA Merrill Lynch Euro High Yield Index value, which tracks the performance of Euro denominated below investment grade corporate debt publicly issued in the euro domestic or eurobond markets. Qualifying securities must have a below investment grade rating (based on an average of Moody's, S&P, and Fitch). Qualifying securities must have at least one year remaining term to maturity, a fixed coupon schedule, and a minimum amount outstanding of Euro 100 million. Original issue zero coupon bonds, ""global"" securities (debt issued simultaneously in the eurobond and euro domestic markets), 144a securities and pay-in-kind securities, including toggle notes, qualify for inclusion in the Index. Callable perpetual securities qualify provided they are at least one year from the first call date. Fixed-to-floating rate securities also qualify provided they are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security. Defaulted, warrant-bearing and euro legacy currency securities are excluded from the Index.  BofA Merrill Lynch Explains the Construction Methodology of this series as: Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of U.S. mortgage pass-throughs and U.S. structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming next-day settlement. Accrued interest for U.S. mortgage pass-through and U.S. structured products is calculated assuming same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.  Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES ""AS IS"" MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.03592042
BAMLHYH0A0HYM2TRIV,Index,BofA Merrill Lynch US High Yield Master II Total Return Index Valueë©,"This data represents the BofA Merrill Lynch US High Yield Master II Index value, which tracks the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market. To qualify for inclusion in the index, securities must have a below investment grade rating (based on an average of Moody's, S&P, and Fitch) and an investment grade rated country of risk (based on an average of Moody's, S&P, and Fitch foreign currency long term sovereign debt ratings). Each security must have greater than 1 year of remaining maturity, a fixed coupon schedule, and a minimum amount outstanding of $100 million. Original issue zero coupon bonds, ""global"" securities (debt issued simultaneously in the eurobond and US domestic bond markets), 144a securities and pay-in-kind securities, including toggle notes, qualify for inclusion in the Index. Callable perpetual securities qualify provided they are at least one year from the first call date. Fixed-to-floating rate securities also qualify provided they are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security. DRD-eligible and defaulted securities are excluded from the Index   BofA Merrill Lynch Explains the Construction Methodology of this series as:  Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of U.S. mortgage pass-throughs and U.S. structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming next-day settlement. Accrued interest for U.S. mortgage pass-through and U.S. structured products is calculated assuming same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are included in the Index for the following month. Issues that no longer meet the criteria during the course of the month remain in the Index until the next month-end rebalancing at which point they are removed from the Index.   When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.149056142
BAMLHYH0A1BBTRIV,Index,BofA Merrill Lynch US High Yield BB Total Return Index Valueë©,"This data represents the BofA Merrill Lynch US Corporate BB Index value, a subset of the BofA Merrill Lynch US High Yield Master II Index tracking the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating BB. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright 2009, Bank of America Corporation. Reprinted with permission.",0.057404264
BAMLHYH0A2BTRIV,Index,BofA Merrill Lynch US High Yield B Total Return Index Valueë©,"This data represents the BofA Merrill Lynch US Corporate B Index value, a subset of the BofA Merrill Lynch US High Yield Master II Index tracking the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating B. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.041873318
BAMLHYH0A3CMTRIV,Index,BofA Merrill Lynch US High Yield CCC or Below Total Return Index Valueë©,"This data represents the BofA Merrill Lynch US Corporate C Index value, a subset of the BofA Merrill Lynch US High Yield Master II Index tracking the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market. This subset includes all securities with a given investment grade rating CCC or below. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.052305941
BBSD678FRBCLE,Units of Stress,Contributions to the Cleveland Financial Stress Index: Bank Bond Spread,This chart shows the contribution of the bank bond spread to the CFSI. This spread is measured as the difference between the 10-Year A-Rated bond yield and the 10-Year US Treasury Yield. It captures the broad perceptions of medium- to long-term risk in banks issuing A-Rated bonds.,0.00029672
CBSD678FRBCLE,Units of Stress,Contributions to the Cleveland Financial Stress Index: Corporate Bond Spread,"This chart shows the contribution of the corporate bond spread to the CFSI. This spread measures the difference between the 10-Year Moody's Aaa-rated corporate bond yield and 10-Year US Treasury yield, which captures medium- to long-term corporate risk for all sectors. This is a useful stress indicator because when the likelihood of losses increases, firms have trouble financing debt and may be less able to obtain liquidity, which implies greater stress.",0.000215166
CFSI,Z-score,Cleveland Financial Stress Index,"The CFSI is designed to track distress in the US financial system on a continuous basis giving the financial-system supervisors the ability to monitor stressful episodes as they are building in the economy. Such early detection is important because financial stress can quickly be amplified when stress is occurring in more than one market. The CFSI tracks stress in six types of markets: credit markets, equity markets, foreign exchange markets, funding markets (interbank markets), real estate markets, and securitization markets. The CFSI is a coincident indicator of systemic stress, where a high value of CFSI indicates high systemic financial stress. Units of CFSI are expressed as standardized differences from the mean (z-scores).   The CFSI data for weekends and holidays is extrapolated.  To interpret the stress continuum, CFSI is first divided it into four levels or grades. The grade thresholds are dynamic and move slowly over time. The four grades are:   Grade     Description               Range Grade 1   Low stress period           CFSI < -0.733 Grade 2   Normal stress period      -0.733 __‚ CFSI < 0.544 Grade 3   Moderate stress period     0.544 __‚ CFSI < 1.82 Grade 4   Significant stress period   CFSI __‚ 1.82",0.000107069
CHF12MD156N,Percent,"12-Month London Interbank Offered Rate (LIBOR), based on Swiss Frankë©","The data series is lagged by one week due to an agreement with the source. London Interbank Offered Rate is the average interest rate at which leading banks borrow funds of a sizeable amount from other banks in the London market. Libor is the most widely used ""benchmark"" or reference rate for short term interest rates  In consideration for ICE Benchmark Administration Limited (""IBA"") coordinating and the Libor Contributor Banks supplying the data from which ICE LIBOR is compiled, the subscriber acknowledges and agrees that, to the fullest extent permitted by law, none of the IBA or the LIBOR Contributor Banks: (1) accept any responsibility or liability for the frequency of provision and accuracy of the ICE LIBOR rate or any use made of the ICE LIBOR rate by the subscriber, whether or not arising from the negligence of any of IBA or the LIBOR Contributor Banks; or (2) shall be liable for any loss of business or profits nor any direct, indirect or consequential loss or damage resulting from any such irregularity, inaccuracy or use of the Information.  Copyright, 2014, ICE Benchmark Administration.",-0.00084297
CHF1MTD156N,Percent,"1-Month London Interbank Offered Rate (LIBOR), based on Swiss Frankë©","The data series is lagged by one week due to an agreement with the source. London Interbank Offered Rate is the average interest rate at which leading banks borrow funds of a sizeable amount from other banks in the London market. Libor is the most widely used ""benchmark"" or reference rate for short term interest rates  In consideration for ICE Benchmark Administration Limited (""IBA"") coordinating and the Libor Contributor Banks supplying the data from which ICE LIBOR is compiled, the subscriber acknowledges and agrees that, to the fullest extent permitted by law, none of the IBA or the LIBOR Contributor Banks: (1) accept any responsibility or liability for the frequency of provision and accuracy of the ICE LIBOR rate or any use made of the ICE LIBOR rate by the subscriber, whether or not arising from the negligence of any of IBA or the LIBOR Contributor Banks; or (2) shall be liable for any loss of business or profits nor any direct, indirect or consequential loss or damage resulting from any such irregularity, inaccuracy or use of the Information.  Copyright, 2014, ICE Benchmark Administration.",-0.000836192
CHF1WKD156N,Percent,"1-Week London Interbank Offered Rate (LIBOR), based on Swiss Frankë©","The data series is lagged by one week due to an agreement with the source. London Interbank Offered Rate is the average interest rate at which leading banks borrow funds of a sizeable amount from other banks in the London market. Libor is the most widely used ""benchmark"" or reference rate for short term interest rates  In consideration for ICE Benchmark Administration Limited (""IBA"") coordinating and the Libor Contributor Banks supplying the data from which ICE LIBOR is compiled, the subscriber acknowledges and agrees that, to the fullest extent permitted by law, none of the IBA or the LIBOR Contributor Banks: (1) accept any responsibility or liability for the frequency of provision and accuracy of the ICE LIBOR rate or any use made of the ICE LIBOR rate by the subscriber, whether or not arising from the negligence of any of IBA or the LIBOR Contributor Banks; or (2) shall be liable for any loss of business or profits nor any direct, indirect or consequential loss or damage resulting from any such irregularity, inaccuracy or use of the Information.  Copyright, 2014, ICE Benchmark Administration.",-0.00046478
CHF2MTD156N,Percent,"2-Month London Interbank Offered Rate (LIBOR), based on Swiss Frankë©","The data series is lagged by one week due to an agreement with the source. London Interbank Offered Rate is the average interest rate at which leading banks borrow funds of a sizeable amount from other banks in the London market. Libor is the most widely used ""benchmark"" or reference rate for short term interest rates  In consideration for ICE Benchmark Administration Limited (""IBA"") coordinating and the Libor Contributor Banks supplying the data from which ICE LIBOR is compiled, the subscriber acknowledges and agrees that, to the fullest extent permitted by law, none of the IBA or the LIBOR Contributor Banks: (1) accept any responsibility or liability for the frequency of provision and accuracy of the ICE LIBOR rate or any use made of the ICE LIBOR rate by the subscriber, whether or not arising from the negligence of any of IBA or the LIBOR Contributor Banks; or (2) shall be liable for any loss of business or profits nor any direct, indirect or consequential loss or damage resulting from any such irregularity, inaccuracy or use of the Information.  Copyright, 2014, ICE Benchmark Administration.",-0.00083931
CHF3MTD156N,Percent,"3-Month London Interbank Offered Rate (LIBOR), based on Swiss Frankë©","The data series is lagged by one week due to an agreement with the source. London Interbank Offered Rate is the average interest rate at which leading banks borrow funds of a sizeable amount from other banks in the London market. Libor is the most widely used ""benchmark"" or reference rate for short term interest rates  In consideration for ICE Benchmark Administration Limited (""IBA"") coordinating and the Libor Contributor Banks supplying the data from which ICE LIBOR is compiled, the subscriber acknowledges and agrees that, to the fullest extent permitted by law, none of the IBA or the LIBOR Contributor Banks: (1) accept any responsibility or liability for the frequency of provision and accuracy of the ICE LIBOR rate or any use made of the ICE LIBOR rate by the subscriber, whether or not arising from the negligence of any of IBA or the LIBOR Contributor Banks; or (2) shall be liable for any loss of business or profits nor any direct, indirect or consequential loss or damage resulting from any such irregularity, inaccuracy or use of the Information.  Copyright, 2014, ICE Benchmark Administration.",-0.000848593
CHF6MTD156N,Percent,"6-Month London Interbank Offered Rate (LIBOR), based on Swiss Frankë©","The data series is lagged by one week due to an agreement with the source. London Interbank Offered Rate is the average interest rate at which leading banks borrow funds of a sizeable amount from other banks in the London market. Libor is the most widely used ""benchmark"" or reference rate for short term interest rates  In consideration for ICE Benchmark Administration Limited (""IBA"") coordinating and the Libor Contributor Banks supplying the data from which ICE LIBOR is compiled, the subscriber acknowledges and agrees that, to the fullest extent permitted by law, none of the IBA or the LIBOR Contributor Banks: (1) accept any responsibility or liability for the frequency of provision and accuracy of the ICE LIBOR rate or any use made of the ICE LIBOR rate by the subscriber, whether or not arising from the negligence of any of IBA or the LIBOR Contributor Banks; or (2) shall be liable for any loss of business or profits nor any direct, indirect or consequential loss or damage resulting from any such irregularity, inaccuracy or use of the Information.  Copyright, 2014, ICE Benchmark Administration.",-0.000856417
CHFONTD156N,Percent,"Spot Next London Interbank Offered Rate (LIBOR), based on Swiss Frankë©","The data series is lagged by one week due to an agreement with the source. London Interbank Offered Rate is the average interest rate at which leading banks borrow funds of a sizeable amount from other banks in the London market. Libor is the most widely used ""benchmark"" or reference rate for short term interest rates  In consideration for ICE Benchmark Administration Limited (""IBA"") coordinating and the Libor Contributor Banks supplying the data from which ICE LIBOR is compiled, the subscriber acknowledges and agrees that, to the fullest extent permitted by law, none of the IBA or the LIBOR Contributor Banks: (1) accept any responsibility or liability for the frequency of provision and accuracy of the ICE LIBOR rate or any use made of the ICE LIBOR rate by the subscriber, whether or not arising from the negligence of any of IBA or the LIBOR Contributor Banks; or (2) shall be liable for any loss of business or profits nor any direct, indirect or consequential loss or damage resulting from any such irregularity, inaccuracy or use of the Information.  Copyright, 2014, ICE Benchmark Administration.",-0.001132768
CISD678FRBCLE,Units of Stress,Contributions to the Cleveland Financial Stress Index: Covered Interest Spread,"This chart shows the contribution of the covered interest spread to the CFSI. This spread measures the difference between the 90-Day UK Treasury yield and the 90-Day US Treasury Yield. It contains information about uncertainty in government bond markets. A widening spread signals unwillingness to hold a government's debt, which implies difficulty in acquiring liquidity for governments, signaling the onset of stress.",-0.000747874
CMBSSD678FRBCLE,Units of Stress,Contributions to the Cleveland Financial Stress Index: Commercial Mortgage-Backed Security Spread,This chart shows the contribution of the commercial mortgage-backed security spread to CFSI. This spread is measured as the difference between the yield on commercial mortgage-backed securities and 5-Year Treasury. It captures the ability of originators to raise capital and the relative riskiness of the securitized asset,5.21E-06
CMRKTSD678FRBCLE,Units of Stress,Contributions to the Cleveland Financial Stress Index: Credit Markets,"This chart shows the contribution of the credit market sector to the CFSI. The contributions to CFSI from the credit market sector include: the commercial paper to T-Bill spread, the corporate bond spread, the covered interest spread, the liquidity spread, and the treasury yield curve spread.",-0.000628145
CPFF,Percent,3-Month Commercial Paper Minus Federal Funds Rate,Series is calculated as the spread between 3-Month AA Financial Commercial Paper (http://research.stlouisfed.org/fred2/series/DCPF3M) and Effective Federal Funds Rate (http://research.stlouisfed.org/fred2/series/DFF).,9.38E-05
CPTBSD678FRBCLE,Units of Stress,Contributions to the Cleveland Financial Stress Index: Commercial Paper minus T-Bill Spread,This chart shows the contribution of the commercial paper -T-Bill Spread to the CFSI. This spread measures the difference between the 90-Day financial commercial paper rate and the 90-Day US Treasury Yield. It captures the short-term risk premium on financial companies' debt. A widening spread signals increases in the underlying risk of financial companies' operations.,-0.00041645
CRESD678FRBCLE,Units of Stress,Contributions to the Cleveland Financial Stress Index: Commercial Real Estate Spread,This chart shows the contribution of the commercial real estate spread to the CFSI. This spread is measured as the difference between the price of commercial property (NCREIF Commercial Property Index) and 20-Year US treasury. It captures the risk associated with investing in commercial real estate relative to a risk free instrument.,0.000175256
DAAA,Percent,Moody's Seasoned Aaa Corporate Bond Yieldë©,"Copyright, 2014, Moody's Investor Services. Reprinted with permission. Moody's tries to include bonds with remaining maturities as close as possible to 30 years. Moody's drops bonds if the remaining life falls below 20 years, if the bond is susceptible to redemption, or if the rating changes.",-0.000933562
DBAA,Percent,Moody's Seasoned Baa Corporate Bond Yieldë©,"Copyright, 2014, Moody's Investor Services. Reprinted with permission.  Moody's tries to include bonds with remaining maturities as close as possible to 30 years. Moody's drops bonds if the remaining life falls below 20 years, if the bond is susceptible to redemption, or if the rating changes.",-0.000841651
DCOILBRENTEU,Dollars per Barrel,Crude Oil Prices: Brent - Europe,"Definitions, Sources and Explanatory Notes: http://www.eia.doe.gov/dnav/pet/TblDefs/pet_pri_spt_tbldef2.asp",0.005666199
DCOILWTICO,Dollars per Barrel,"Crude Oil Prices: West Texas Intermediate (WTI) - Cushing, Oklahoma","Definitions, Sources and Explanatory Notes: http://www.eia.doe.gov/dnav/pet/TblDefs/pet_pri_spt_tbldef2.asp",0.004406506
DCPF1M,Percent,1-Month AA Financial Commercial Paper Rate,Discount Basis,-0.001164748
DCPF2M,Percent,2-Month AA Financial Commercial Paper Rate,Discount Basis,-0.001158779
DCPF3M,Percent,3-Month AA Financial Commercial Paper Rate,Discount Basis,-0.001141174
DCPN2M,Percent,2-Month AA Nonfinancial Commercial Paper Rate,Discount Basis,-0.001248802
DCPN30,Percent,1-Month AA Nonfinancial Commercial Paper Rate,Discount Basis,-0.001154861
DCPN3M,Percent,3-Month AA Nonfinancial Commercial Paper Rate,Discount Basis,-0.001465761
DDFUELLA,Dollars per Gallon,Ultra-Low-Sulfur No. 2 Diesel Fuel Prices: Los Angeles,"Definitions, Sources and Explanatory Notes:                     http://www.eia.doe.gov/dnav/pet/TblDefs/pet_pri_spt_tbldef2.asp",0.000195355
DDFUELNYH,Dollars per Gallon,Ultra-Low-Sulfur No. 2 Diesel Fuel Prices: New York Harbor,"Definitions, Sources and Explanatory Notes:                     http://www.eia.doe.gov/dnav/pet/TblDefs/pet_pri_spt_tbldef2.asp",-0.000116667
DDFUELUSGULF,Dollars per Gallon,Ultra-Low-Sulfur No. 2 Diesel Fuel Prices: U.S. Gulf Coast,"Definitions, Sources and Explanatory Notes:                     http://www.eia.doe.gov/dnav/pet/TblDefs/pet_pri_spt_tbldef2.asp",-0.000179386
DED1,Percent,1-Month Eurodollar Deposit Rate (London),Annualized using a 360-day year or bank interest. Source: Bloomberg and CTRB ICAP Fixed Income & Money Market Products.,-0.000546627
DED3,Percent,3-Month Eurodollar Deposit Rate (London),Annualized using a 360-day year or bank interest. Source: Bloomberg and CTRB ICAP Fixed Income & Money Market Products.,-0.000544764
DED6,Percent,6-Month Eurodollar Deposit Rate (London),Annualized using a 360-day year or bank interest. Source: Bloomberg and CTRB ICAP Fixed Income & Money Market Products.,-0.000560409
DEXBZUS,Brazilian Reals to One U.S. Dollar,Brazil / U.S. Foreign Exchange Rate,Noon buying rates in New York City for cable transfers payable in foreign currencies.,0.000439938
DEXCAUS,Canadian Dollars to One U.S. Dollar,Canada / U.S. Foreign Exchange Rate,Noon buying rates in New York City for cable transfers payable in foreign currencies.,2.20E-05
DEXCHUS,Chinese Yuan to One U.S. Dollar,China / U.S. Foreign Exchange Rate,Noon buying rates in New York City for cable transfers payable in foreign currencies.,0.000542427
DEXDNUS,Danish Kroner to One U.S. Dollar,Denmark / U.S. Foreign Exchange Rate,Noon buying rates in New York City for cable transfers payable in foreign currencies.,-6.82E-05
DEXHKUS,Hong Kong Dollars to One U.S. Dollar,Hong Kong / U.S. Foreign Exchange Rate,Noon buying rates in New York City for cable transfers payable in foreign currencies.,0.000301753
DEXINUS,Indian Rupees to One U.S. Dollar,India / U.S. Foreign Exchange Rate,Noon buying rates in New York City for cable transfers payable in foreign currencies.,0.005190396
DEXJPUS,Japanese Yen to One U.S. Dollar,Japan / U.S. Foreign Exchange Rate,Noon buying rates in New York City for cable transfers payable in foreign currencies.,-0.021013078
DEXKOUS,South Korean Won to One U.S. Dollar,South Korea / U.S. Foreign Exchange Rate,Noon buying rates in New York City for cable transfers payable in foreign currencies.,0.051957691
DEXMAUS,Malaysian Ringgit to One U.S. Dollar,Malaysia / U.S. Foreign Exchange Rate,Noon buying rates in New York City for cable transfers payable in foreign currencies.,6.18E-05
DEXMXUS,Mexican New Pesos to One U.S. Dollar,Mexico / U.S. Foreign Exchange Rate,Noon buying rates in New York City for cable transfers payable in foreign currencies.,0.002305535
DEXNOUS,Norwegian Kroner to One U.S. Dollar,Norway / U.S. Foreign Exchange Rate,Noon buying rates in New York City for cable transfers payable in foreign currencies.,7.39E-05
DEXSDUS,Swedish Kronor to One U.S. Dollar,Sweden / U.S. Foreign Exchange Rate,Noon buying rates in New York City for cable transfers payable in foreign currencies.,0.000294583
DEXSFUS,South African Rand to One U.S. Dollar,South Africa / U.S. Foreign Exchange Rate,Noon buying rates in New York City for cable transfers payable in foreign currencies.,0.001036633
DEXSIUS,Singapore Dollars to One U.S. Dollar,Singapore / U.S. Foreign Exchange Rate,Noon buying rates in New York City for cable transfers payable in foreign currencies.,-8.58E-05
